Type,Sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,_tni_model,In stock,Regular Price,Special Price,_supplier_name,_supplier_price,product_code,pcs,tag,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
,pack-10-0012,Bcleen - Small Vinyl Gloves for Medical Examination Powder Free,Bcleen,Bcleen - Small Vinyl Gloves for Medical Examination Powder Free,"Bcleen Medical Examination Vinyl Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VMEGS-PF,1,92,,Bcleen,80,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-small-vinyl-gloves-for-medical-examination-powder-free-1.jpg,/bcleen-small-vinyl-gloves-for-medical-examination-powder-free-2.jpg,/bcleen-small-vinyl-gloves-for-medical-examination-powder-free-3.jpg","Disposable does not mean non-durable, each Bcleen disposable vinyl glove has been checked to ensure the highest quality and maximum durability","Our non-powdered vinyl gloves can be donned and disposed easily, and they are highly comfortable for long-term wear",Allergic to latex gloves? Switch to our low-cost vinyl gloves that have been chemically treated to enhance user comfort and reduce the risk of allergies,"The high-quality Bcleen vinyl gloves are perfect for food handling, painting, medical examinations, beauty and salon use",,,,,,,Brand Name: Bcleen,Size: Small,Material: Vinyl,,,,Model: 073VMEGS-PF,,,,,,,,,,,,,,
,pack-10-0013,Bcleen - Medium Vinyl Gloves for Medical Examination Powder Free,Bcleen,Bcleen - Medium Vinyl Gloves for Medical Examination Powder Free,"Bcleen Medical Examination Vinyl Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VMEGM-PF,1,92,,Bcleen,80,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-medium-vinyl-gloves-for-medical-examination-powder-free-1.jpg,/bcleen-medium-vinyl-gloves-for-medical-examination-powder-free-2.jpg,/bcleen-medium-vinyl-gloves-for-medical-examination-powder-free-3.jpg","Disposable does not mean non-durable, each Bcleen disposable vinyl glove has been checked to ensure the highest quality and maximum durability","Our non-powdered vinyl gloves can be donned and disposed easily, and they are highly comfortable for long-term wear",Allergic to latex gloves? Switch to our low-cost vinyl gloves that have been chemically treated to enhance user comfort and reduce the risk of allergies,"The high-quality Bcleen vinyl gloves are perfect for food handling, painting, medical examinations, beauty and salon use",,,,,,,Brand Name: Bcleen,Size: Medium,Material: Vinyl,,,,Model: 073VMEGM-PF,,,,,,,,,,,,,,
,pack-10-0014,Bcleen - Large Vinyl Medical Gloves Powder Free,Bcleen,Bcleen - Large Vinyl Medical Gloves Powder Free,"Bcleen Medical Examination Vinyl Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VMEGL-PF,1,92,,Bcleen,80,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-large-vinyl-medical-gloves-powder-free-1.jpg,/bcleen-large-vinyl-medical-gloves-powder-free-2.jpg,/bcleen-large-vinyl-medical-gloves-powder-free-3.jpg","Disposable does not mean non-durable, each Bcleen disposable vinyl glove has been checked to ensure the highest quality and maximum durability","Our non-powdered vinyl gloves can be donned and disposed easily, and they are highly comfortable for long-term wear",Allergic to latex gloves? Switch to our low-cost vinyl gloves that have been chemically treated to enhance user comfort and reduce the risk of allergies,"The high-quality Bcleen vinyl gloves are perfect for food handling, painting, medical examinations, beauty and salon use",,,,,,,Brand Name: Bcleen,Size: Large,Material: Vinyl,,,,Model: 073VMEGL-PF,,,,,,,,,,,,,,
,pack-10-0015,Bcleen - Powder Free Vinyl Medical Gloves - X-Large,Bcleen,Bcleen - Powder Free Vinyl Medical Gloves - X-Large,"Bcleen Medical Examination Vinyl Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VMEGXL-PF,1,92,,Bcleen,80,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-powder-free-vinyl-medical-gloves-x-large-1.jpg,/bcleen-powder-free-vinyl-medical-gloves-x-large-2.jpg,/bcleen-powder-free-vinyl-medical-gloves-x-large-3.jpg","Disposable does not mean non-durable, each Bcleen disposable vinyl glove has been checked to ensure the highest quality and maximum durability","Our non-powdered vinyl gloves can be donned and disposed easily, and they are highly comfortable for long-term wear",Allergic to latex gloves? Switch to our low-cost vinyl gloves that have been chemically treated to enhance user comfort and reduce the risk of allergies,"The high-quality Bcleen vinyl gloves are perfect for food handling, painting, medical examinations, beauty and salon use",,,,,,,Brand Name: Bcleen,Size: X-Large,Material: Vinyl,,,,Model: 073VMEGXL-PF,,,,,,,,,,,,,,
,pack-10-0016,Al Bayader - Large Disposable Vinyl Gloves - 100pcs x 10pkts,ALBAYADER,Al Bayader - Large Disposable Vinyl Gloves - 100pcs x 10pkts,"Al Bayader International disposable vinyl gloves are dusted with a light powder coating to facilitate putting them on and taking them off. Designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073VGL,1,86.25,,Al Bayader,75,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-large-disposable-vinyl-gloves-100pcs-x-10pkts-1.jpg,/al-bayader-large-disposable-vinyl-gloves-100pcs-x-10pkts-2.jpg,/al-bayader-large-disposable-vinyl-gloves-100pcs-x-10pkts-3.jpg",Strong construction for comfort and dexterity,Resistant to most household,Chemicals and an alternative for latex allergy,Excellent fit for comfort sensitivity & safety,,,,,,,Brand Name: Al Bayader,Size: Large,Material: Vinyl,,,,Model: 073VGL,,,,,,,,,,,,,,
,pack-10-0017,"Al Bayader - Disposable Vinyl Gloves, Medium - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Vinyl Gloves, Medium - 100pcs x 10pkts","Al Bayader International disposable vinyl gloves are dusted with a light powder coating to facilitate putting them on and taking them off. Designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073VGM,1,86.25,,Al Bayader,75,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-vinyl-gloves-medium-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-vinyl-gloves-medium-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-vinyl-gloves-medium-100pcs-x-10pkts-3.jpg",Strong construction for comfort and dexterity,Resistant to most household,Chemicals and an alternative for latex allergy,Excellent fit for comfort sensitivity & safety,,,,,,,Brand Name: Al Bayader,Size: Medium,Material: Vinyl,,,,Model: 073VGM,,,,,,,,,,,,,,
,pack-10-0018,"Al Bayader - Disposable Vinyl Gloves, Small - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Vinyl Gloves, Small - 100pcs x 10pkts","Al Bayader International disposable vinyl gloves are dusted with a light powder coating to facilitate putting them on and taking them off. Designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073VGS,1,86.25,,Al Bayader,75,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-vinyl-gloves-small-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-vinyl-gloves-small-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-vinyl-gloves-small-100pcs-x-10pkts-3.jpg",Strong construction for comfort and dexterity,Resistant to most household,Chemicals and an alternative for latex allergy,Excellent fit for comfort sensitivity & safety,,,,,,,Brand Name: Al Bayader,Size: Small,Material: Vinyl,,,,Model: 073VGS,,,,,,,,,,,,,,
,pack-10-0019,"Al Bayader - Disposable Blue Vinyl Gloves Powder Free, Large - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Blue Vinyl Gloves Powder Free, Large - 100pcs x 10pkts","They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VGBL-PF,1,92,,Al Bayader,80,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-blue-vinyl-gloves-powder-free-large-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-blue-vinyl-gloves-powder-free-large-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-blue-vinyl-gloves-powder-free-large-100pcs-x-10pkts-3.jpg",High quality durable material used for packaging which keeps the shipment safe and sturdy,Powder Free gloves,Gloves are made of high quality material and does not tear fast,,,,,,,,Brand Name: Al Bayader,Size: Large,Material: Vinyl,Color: Blue,,,Model: 073VGBL-PF,,,,,,,,,,,,,,
,pack-10-0020,"Al Bayader - Disposable Blue Vinyl Gloves Powder Free, Medium - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Blue Vinyl Gloves Powder Free, Medium - 100pcs x 10pkts","They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VGBM-PF,1,92,,Al Bayader,80,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-blue-vinyl-gloves-powder-free-medium-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-blue-vinyl-gloves-powder-free-medium-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-blue-vinyl-gloves-powder-free-medium-100pcs-x-10pkts-3.jpg",High quality durable material used for packaging which keeps the shipment safe and sturdy,Powder Free gloves,Gloves are made of high quality material and does not tear fast,,,,,,,,Brand Name: Al Bayader,Size: Medium,Material: Vinyl,Color: Blue,,,Model: 073VGBM-PF,,,,,,,,,,,,,,
,pack-10-0021,"Al Bayader - Powder Free Disposable Vinyl Gloves, Large - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Powder Free Disposable Vinyl Gloves, Large - 100pcs x 10pkts","They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VGL-PF,1,86.25,,Al Bayader,75,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-powder-free-disposable-vinyl-gloves-large-100pcs-x-10pkts-1.jpg,/al-bayader-powder-free-disposable-vinyl-gloves-large-100pcs-x-10pkts-2.jpg,/al-bayader-powder-free-disposable-vinyl-gloves-large-100pcs-x-10pkts-3.jpg",High quality durable material used for packaging which keeps the shipment safe and sturdy,Powder Free gloves,Gloves are made of high quality material and does not tear fast,,,,,,,,Brand Name: Al Bayader,Size: Large,Material: Vinyl,,,,Model: 073VGL-PF,,,,,,,,,,,,,,
,pack-10-0022,"Al Bayader - Medium Vinyl Gloves Powder Free, Medium -100pcs x 10pkts",ALBAYADER,"Al Bayader - Medium Vinyl Gloves Powder Free, Medium -100pcs x 10pkts","They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073VGM-PF,1,86.25,,Al Bayader,75,,,,,,Vinyl Gloves,,Hygiene and Protection > Gloves,"/al-bayader-medium-vinyl-gloves-powder-free-100pcs-x-10pkts-1.jpg,/al-bayader-medium-vinyl-gloves-powder-free-100pcs-x-10pkts-2.jpg,/al-bayader-medium-vinyl-gloves-powder-free-100pcs-x-10pkts-3.jpg",High quality durable material used for packaging which keeps the shipment safe and sturdy,Powder Free gloves,Gloves are made of high quality material and does not tear fast,,,,,,,,Brand Name: Al Bayader,Size: Medium,Material: Vinyl,,,,Model: 073VGM-PF,,,,,,,,,,,,,,
,pack-10-0023,"Al Bayader - Disposable HDPE Gloves, Clear Embossed - 100pcs x 100pkts",ALBAYADER,"Al Bayader - Disposable HDPE Gloves, Clear Embossed - 100pcs x 100pkts","Disposable gloves with powder are easy to wear and remove as the powder helps to absorb the sweat in the palm. Our gloves are well-suited for countless uses that require frequent glove changes food-related applications, household chores, personal care and for gardening. Made with a natural latex material, designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073PEG,1,138,,Al Bayader,120,,,,,,HDPE gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-hdpe-gloves-clear-embossed-100pcs-x-100pkts-1.jpg,/al-bayader-disposable-hdpe-gloves-clear-embossed-100pcs-x-100pkts-2.jpg,/al-bayader-disposable-hdpe-gloves-clear-embossed-100pcs-x-100pkts-3.jpg",Disposable gloves with powder are easy to wear and remove as the powder helps to absorb the sweat in the palm,"Our gloves are well-suited for countless uses that require frequent glove changes food-related applications, household chores, personal care and for gardening","Made with a natural latex material, designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands",,,,,,,,Brand Name: Al Bayader,Material: HDPE,Color: Clear,,,,Model: 073PEG,,,,,,,,,,,,,,
,pack-10-0024,"Al Bayader - Brown Carry Bag Twisted Handle, 34 x 17.5 x 34cm Large - 250pcs",ALBAYADER,"Al Bayader - Brown Carry Bag Twisted Handle, 34 x 34 + 17.5cm Large - 250pcs","The recyclable handle carrier bags to carry multiple take away items. The bag is free standing, which makes it easier to load products into the bag. Compact construction.
 Easy to clean and maintain.",,044BCBL-H,1,212.75,,Al Bayader,185,,,,,,Paper Bags,,Bags > Shopping Bags > Kraft Bags,/al-bayader-brown-carry-bag-twisted-handle-34-x-34-+-17.5cm-large-250pcs-1.jpg,Takeaway Bags Twisted rope/paper Handles,"No elasticity, but it has a magical thing called ?gusset?",Customizable / Printable,,,,,,,,Brand Name: Al Bayader,Material: Paper,Color: Brown,Dimensions: 34 x 34 + 17.5cm,,,Model: 044BCBL-H,,,,,,,,,,,,,,
,pack-10-0025,"Al Bayader - Kraft Paper Bag with Twisted Handle, 36 x 26 + 12cm Small - 250pcs",ALBAYADER,"Al Bayader - Kraft Paper Bag with Twisted Handle, 36 x 26 + 12cm Small - 250pcs","The recyclable handle carrier bags to carry multiple take away items. The bag is free standing, which makes it easier to load products into the bag. Compact construction.
 Easy to clean and maintain.",,044BCBS-H,1,195.5,,Al Bayader,170,,,,,,Paper Bags,,Bags > Shopping Bags > Kraft Bags,/al-bayader-kraft-paper-bag-with-twisted-handle-36-x-26-+-12cm-small-250pcs-1.jpg,Takeaway Bags Twisted rope/paper Handles,"No elasticity, but it has a magical thing called ?gusset?",Customizable / Printable,,,,,,,,Brand Name: Al Bayader,Material: Paper,Color: Brown,Dimensions: 36 x 26 + 12cm,,,Model: 044BCBS-H,,,,,,,,,,,,,,
,pack-10-0026,"Al Bayader - Plain Bag with Twisted Handle, 29 x 29 + 15cm - Medium - 250pcs",ALBAYADER,"Al Bayader - Plain Bag with Twisted Handle, 29 x 29 + 15cm - Medium - 250pcs","The recyclable handle carrier bags to carry multiple take away items. The bag is free standing, which makes it easier to load products into the bag. Compact construction.
 Easy to clean and maintain.",,044BCBM-H,1,207,,Al Bayader,180,,,,,,Paper Bags,,Bags > Shopping Bags > Kraft Bags,/al-bayader-plain-bag-with-twisted-handle-29-x-29-+-15cm-medium-250pcs-1.jpg,Takeaway Bags Twisted rope/paper Handles,"No elasticity, but it has a magical thing called ?gusset?",Customizable / Printable,,,,,,,,Brand Name: Al Bayader,Material: Paper,Color: Brown,Dimensions: 29 x 29 + 15cm,,,Model: 044BCBM-H,,,,,,,,,,,,,,
,pack-10-0027,"Al Bayader - White Paper Bag with Twisted Handle, 29 x 29 + 15cm - 250pcs",ALBAYADER,"Al Bayader - White Paper Bag with Twisted Handle, 29 x 29 + 15cm - 250pcs","The recyclable handle carrier bags to carry multiple take away items. The bag is free standing, which makes it easier to load products into the bag. Compact construction.
 Easy to clean and maintain.",,044WCBM-H,1,218.5,,Al Bayader,190,,,,,,Paper Bags,,Bags > Shopping Bags > Kraft Bags,/al-bayader-white-paper-bag-with-twisted-handle-29-x-29-+-15cm-250pcs-1.jpg,Takeaway Bags Twisted rope/paper Handles,"No elasticity, but it has a magical thing called ?gusset?",Customizable / Printable,,,,,,,,Brand Name: Al Bayader,Material: Paper,Color: White,Dimensions: 29 x 29 + 15cm,,,Model: 044WCBM-H,,,,,,,,,,,,,,
,pack-10-0028,"Al Bayader - White Plain Bag Twisted Handle, 36.5x 29 + 17cm - 250pcs",ALBAYADER,"Al Bayader - White Plain Bag Twisted Handle, 36.5 x 29 + 17cm - 250pcs","The recyclable handle carrier bags to carry multiple take away items. The bag is free standing, which makes it easier to load products into the bag. Compact construction.
 Easy to clean and maintain.",,044WCB36-H,1,241.5,,Al Bayader,210,,,,,,Paper Bags,,Bags > Shopping Bags > Kraft Bags,/al-bayader-white-plain-bag-twisted-handle-36.5-x-29-+-17cm-250pcs-1.jpg,Takeaway Bags Twisted rope/paper Handles,"No elasticity, but it has a magical thing called ?gusset?",Customizable / Printable,,,,,,,,Brand Name: Al Bayader,Material: Paper,Color: White,Dimensions: 36.5x 29 + 17cm,,,Model: 044WCB36-H,,,,,,,,,,,,,,
